title,text
expensiveCities,"In news that won’t come as a surprise to anyone who’s been feeling the pinch, the global cost of living crisis is far from over. And big-city dwellers can really take a hit. According to the annual Worldwide Cost of Living Index that’s published by the Economist Intelligence Unit (EIU), the average cost of living rose by 7.4% this year. Grocery prices increased the fastest. Although this is slightly lower than the 8.1% jump the same survey recorded in 2022, the numbers remain significantly higher than “historic trends.” But there is some good news. Utility prices, the fastest rising category in the 2022 survey, showed the least amount of inflation this time around. Price increases are slowing in pace because of the waning of supply chain issues since China lifted its Covid-19 restrictions in late 2022. However, grocery prices are continuing to rise as retailers pass on higher costs to consumers. “We expect inflation to continue to decelerate in 2024, as the lagged impact of interest-rate rises starts affecting economic activity, and in turn, consumer demand,” Upasana Dutt, Head of Worldwide Cost of Living at EIU, said in a statement. Dutt went on to warn the upside risks of armed conflict and extreme weather remain. “Further escalations of the Israel-Hamas war would drive up energy prices, while a greater than expected impact from El Niño would push up food prices even further,” she added. Inevitably, increasing living costs have meant that many cities have become more expensive to live in – but some get hit harder than others. The city-state of Singapore and Switzerland’s Zurich were named as the most expensive cities in the world. The rise of the latter, which jumped from sixth place on last year’s list, was attributed to the strength of the Swiss Franc along with the high prices of groceries, household goods and recreation. Singapore’s costly transport and clothing were also noted."
ArcticSea,"Arctic sea ice likely reached its annual minimum extent on Sept. 19, 2023, making it the sixth-lowest year in the satellite record, according to researchers at NASA and the National Snow and Ice Data Center (NSIDC). Meanwhile, Antarctic sea ice reached its lowest maximum extent on record on Sept. 10 at a time when the ice cover should have been growing at a much faster pace during the darkest and coldest months. Scientists track the seasonal and annual fluctuations because sea ice shapes Earth’s polar ecosystems and plays a significant role in global climate. Researchers at NSIDC and NASA use satellites to measure sea ice as it melts and refreezes. They track sea ice extent, which is defined as the total area of the ocean in which the ice cover fraction is at least 15%. Between March and September 2023, the ice cover in the Arctic shrank from a peak area of 5.64 million square miles (14.62 million square kilometers) to 1.63 million square miles (4.23 million square kilometers). That’s roughly 770,000 square miles (1.99 million square kilometers) below the 1981–2010 average minimum of 2.4 million square miles (6.22 million square kilometers). The amount of sea ice lost was enough to cover the entire continental United States. Sea ice around Antarctica reached its lowest winter maximum extent on Sept. 10, 2023, at 6.5 million square miles (16.96 million square kilometers). That’s 398,000 square miles (1.03 million square kilometers) below the previous record-low reached in 1986 – a difference that equates to roughly the size of Texas and California combined. The average maximum extent between 1981 and 2010 was 7.22 million square miles (18.71 million square kilometers). “It’s a record-smashing sea ice low in the Antarctic,” said Walt Meier, a sea ice scientist at NSIDC. “Sea ice growth appears low around nearly the whole continent as opposed to any one region.”"
AdaByron,"Ada Lovelace, born Augusta Ada Byron in 1815, was the only legitimate child of the renowned poet Lord Byron. Raised by her mother, Lady Anne Isabella Milbanke, Ada showed an early aptitude for mathematics. Her education in mathematics and science was guided by tutors such as Mary Somerville and Augustus De Morgan. Ada's remarkable analytical skills and curiosity soon led her to the work of Charles Babbage, a mathematician and inventor. In her annotated translation of an article about Babbage's Analytical Engine, Ada introduced notes that extended far beyond mere translation. These notes, which some consider to be the first computer program, detailed how the Analytical Engine could manipulate symbols beyond numbers, including music and art. Ada's visionary ideas laid the foundation for modern programming. ""La máquina de Babbage no es simplemente una calculadora gigante, sino una herramienta capaz de crear arte y música mediante el manejo de símbolos abstractos"", she wrote, emphasizing the potential artistic applications of Babbage's invention. Her insights extended beyond the technical realm, with Ada contemplating the broader societal implications of computing. In a letter to her friend Charles Wheatstone, she articulated, ""Les machines de Babbage pourraient un jour influencer profondément la société, modifiant la façon dont nous pensons et travaillons."" (Babbage's machines could one day profoundly influence society, altering how we think and work.) Ada Lovelace's tragically short life ended in 1852 at the age of 36. Despite her untimely death, her legacy endures, and her contributions to the field of computer science continue to inspire generations of scientists and programmers. ""Ada Lovelace a ouvert la voie à une ère où les femmes jouent un rôle crucial dans la science et la technologie."" (Ada Lovelace paved the way for an era where women play a crucial role in science and technology.)"
latin,"In a picturesque village nestled amid rolling hills, there lived a wise old scholar named Lucius. Lucius, known for his erudition, spent his days immersed in ancient texts, seeking wisdom from the past to illuminate the present. One day, as he strolled through the quaint cobblestone streets, he stumbled upon a mysterious tome in an antiquarian bookstore. The title, ""Lux et Veritas,"" whispered promises of enlightenment and truth. Intrigued, Lucius opened the book to find a Latin inscription that read, ""Sapientia est potentia,"" reminding him that knowledge is power. Eager to unravel the secrets within, he delved into the pages, each filled with arcane knowledge and cryptic symbols. As Lucius continued his exploration, he came across a passage that struck a chord deep within him: ""Tempus fugit."" The reminder that time flies resonated with him, urging him to make the most of every moment. Inspired, he decided to embark on a journey to share his newfound wisdom with the villagers. In the heart of the village square, Lucius gathered the townsfolk and began to impart his insights. With eloquence, he quoted Seneca, saying, ""Non scholae sed vitae discimus,"" emphasizing that we learn not for school but for life. The villagers listened attentively as Lucius wove the wisdom of the ancients into the fabric of their everyday lives. As seasons changed and years passed, Lucius became a revered figure in the village, guiding generations with the timeless words of Cicero: ""Salus populi suprema lex esto,"" let the welfare of the people be the supreme law. The village flourished under Lucius's tutelage, and his teachings echoed through the ages. On the eve of his 80th birthday, Lucius gathered the villagers one last time. With a twinkle in his eye, he shared a final Latin aphorism: ""Vivere est vincere,"" to live is to conquer. Lucius, having conquered the limitations of time, bid farewell to the mortal realm, leaving behind a legacy steeped in Latin wisdom that would endure for centuries."
journeyPiuBreve,"In the heart of the 19th century, amidst the fervor of the California Gold Rush, a daring prospector named Samuel Thornton embarked on a treacherous journey that would etch his name into the annals of history. Armed with little more than a weathered map and an unyielding spirit, Thornton sets out from the bustling streets of San Francisco in search of rumored riches hidden deep within the Sierra Nevada mountains. His odyssey began with the arduous trek through dense forests, where towering redwoods whispered tales of the untamed wilderness. Samuel, clad in worn leather, pushed through the thicket, his every step a negotiation with nature itself. As he ascended, the air grew thinner, and the distant echo of rushing rivers beckoned him forward. Crossing the formidable Sierra Nevada range proved to be a formidable challenge. Battling blizzards and avalanches, Thornton's journey became a dance with death. Yet, undeterred, he pressed on, driven by the promise of fortune that glittered in the icy streams below. The next leg unfolded in the scorching Nevada desert, where the once icy winds were replaced by a relentless sun that beat down on him. Water sources were scarce, and Thornton's canteen became a lifeline in this unforgiving terrain. Bandits and nomadic tribes added an element of danger, forcing him to remain vigilant at every turn. Venturing through ghost towns and abandoned settlements, Thornton faced the haunting echoes of shattered dreams. The eerie silence spoke of ambitions crushed by the harsh realities of the West. Undeterred, he pressed on, the ghostly reminders propelling him forward. "
Napoleon: Early career,"Upon graduating in September 1785, Bonaparte was commissioned a second lieutenant in La Fère artillery regiment. He served in Valence and Auxonne until after the outbreak of the French Revolution in 1789. Bonaparte was a fervent Corsican nationalist during this period. He asked for leave to join his mentor Pasquale Paoli, when Paoli was allowed to return to Corsica by the National Assembly. But Paoli had no sympathy for Napoleon, as he deemed his father a traitor for having deserted the cause of Corsican independence. He spent the early years of the Revolution in Corsica, fighting in a complex three-way struggle among royalists, revolutionaries, and Corsican nationalists. Napoleon embraced the ideals of the Revolution, becoming a supporter of the Jacobins and joining the pro-French Corsican Republicans who opposed Paoli's policy and his aspirations to secede. He was given command over a battalion of volunteers and promoted to captain in the regular army in 1792, despite exceeding his leave of absence and leading a riot against French troops. When Corsica declared formal secession from France and requested the protection of the British government, Napoleon and his commitment to the French Revolution came into conflict with Paoli, who had decided to sabotage the Corsican contribution to the Expédition de Sardaigne by preventing a French assault on the Sardinian island La Maddalena. Bonaparte and his family were compelled to flee to Toulon on the French mainland in June 1793 because of the split with Paoli. Although he was born ""Napoleone Buonaparte"", it was after this that Napoleon began styling himself ""Napoléon Bonaparte"". His family did not drop the name Buonaparte until 1796. The first known record of him signing his name as Bonaparte was at the age of 27 (in 1796). In July 1793, Bonaparte published a pro-republican pamphlet, Le souper de Beaucaire (Supper at Beaucaire), which gained him the support of Augustin Robespierre, the younger brother of the Revolutionary leader Maximilien Robespierre."
Colombo: Geographical considerations,"Despite a popular misconception to the contrary, nearly all educated Westerners of Columbus's time knew that the Earth is spherical, a concept that had been understood since antiquity. The techniques of celestial navigation, which uses the position of the Sun and the stars in the sky, had long been in use by astronomers and were beginning to be implemented by mariners. As far back as the 3rd century BC, Eratosthenes had correctly computed the circumference of the Earth by using simple geometry and studying the shadows cast by objects at two remote locations. In the 1st century BC, Posidonius confirmed Eratosthenes's results by comparing stellar observations at two separate locations. These measurements were widely known among scholars, but Ptolemy's use of the smaller, old-fashioned units of distance led Columbus to underestimate the size of the Earth by about a third. Three cosmographical parameters determined the bounds of Columbus's enterprise: the distance across the ocean between Europe and Asia, which depended on the extent of the oikumene, i.e., the Eurasian land-mass stretching east–west between Spain and China; the circumference of the Earth; and the number of miles or leagues in a degree of longitude, which was possible to deduce from the theory of the relationship between the size of the surfaces of water and the land as held by the followers of Aristotle in medieval times. From Pierre d'Ailly's Imago Mundi (1410), Columbus learned of Alfraganus's estimate that a degree of latitude (equal to approximately a degree of longitude along the equator) spanned 56.67 Arabic miles (equivalent to 66.2 nautical miles, 122.6 kilometers or 76.2 mi), but he did not realize that this was expressed in the Arabic mile (about 1,830 meters or 1.14 mi) rather than the shorter Roman mile (about 1,480 m) with which he was familiar."
Elizabeth II Death,"On 8 September 2022, Buckingham Palace released a statement which read: ""Following further evaluation this morning, the Queen's doctors are concerned for Her Majesty's health and have recommended she remain under medical supervision. The Queen remains comfortable and at Balmoral."" Her immediate family rushed to Balmoral to be by her side. She died peacefully at 15:10 BST at the age of 96, with two of her children, Charles and Anne, by her side; Charles immediately succeeded as monarch. Her death was announced to the public at 18:30, setting in motion Operation London Bridge and, because she died in Scotland, Operation Unicorn. Elizabeth was the first monarch to die in Scotland since James V in 1542. Her death certificate recorded her cause of death as ""old age"". On 12 September, Elizabeth's coffin was carried up the Royal Mile in a procession to St Giles' Cathedral, where the Crown of Scotland was placed on it. Her coffin lay at rest at the cathedral for 24 hours, guarded by the Royal Company of Archers, during which around 33,000 people filed past the coffin. It was taken by air to London on 13 September. On 14 September, her coffin was taken in a military procession from Buckingham Palace to Westminster Hall, where Elizabeth lay in state for four days. The coffin was guarded by members of both the Sovereign's Bodyguard and the Household Division. An estimated 250,000 members of the public filed past the coffin, as did politicians and other public figures. On 16 September, Elizabeth's children held a vigil around her coffin, and the next day her eight grandchildren did the same. Elizabeth's state funeral was held at Westminster Abbey on 19 September, which marked the first time that a monarch's funeral service had been held at the Abbey since George II in 1760. More than a million people lined the streets of central London, and the day was declared a holiday in several Commonwealth countries."
NASA: Astrophysics missions,"The NASA Science Mission Directorate Astrophysics division manages the agency's astrophysics science portfolio. NASA has invested significant resources in the development, delivery, and operations of various forms of space telescopes. These telescopes have provided the means to study the cosmos over a large range of the electromagnetic spectrum. The Great Observatories that were launched in the 1980s and 1990s have provided a wealth of observations for study by physicists across the planent. The first of them, the Hubble Space Telescope, was delivered to orbit in 1990 and continues to function, in part due to prior servicing missions performed by the Space Shuttle. The other remaining active great observatories include the Chandra X-ray Observatory (CXO), launched by STS-93 in July 1999 and is now in a 64-hour elliptical orbit studying X-ray sources that are not readily viewable from terrestrial observatories. The Imaging X-ray Polarimetry Explorer (IXPE) is a space observatory designed to improve the understanding of X-ray production in objects such as neutron stars and pulsar wind nebulae, as well as stellar and supermassive black holes. IXPE launched in December 2021 and is an international collaboration between NASA and the Italian Space Agency (ASI). It is part of the NASA Small Explorers program (SMEX) which designs low-cost spacecraft to study heliophysics and astrophysics. The Neil Gehrels Swift Observatory was launched in November 2004 and is Gamma-ray burst observatory that also monitors the afterglow in X-ray, and UV/Visible light at the location of a burst. The mission was developed in a joint partnership between Goddard Space Flight Center (GSFC) and an international consortium from the United States, United Kingdom, and Italy. Pennsylvania State University operates the mission as part of NASA's Medium Explorer program (MIDEX). The Fermi Gamma-ray Space Telescope (FGST) is another gamma-ray focused space observatory that was launched to low Earth orbit in June 2008 and is being used to perform gamma-ray astronomy observations."
Kilimanjaro: Geology and geography,"Kilimanjaro is a large dormant stratovolcano composed of three distinct volcanic cones: Kibo, the highest; Mawenzi at 5,149 m (16,893 ft); and Shira, the lowest at 4,005 m (13,140 ft). Mawenzi and Shira are extinct, while Kibo is dormant and could erupt again. Uhuru Peak is the highest summit on Kibo's crater rim. The Tanzania National Parks Authority, a Tanzanian government agency, and the United Nations Educational, Scientific and Cultural Organization lists the height of Uhuru Peak as 5,895 m (19,341 ft), based on a British survey in 1952. The height has since been measured as 5,892 m (19,331 ft) in 1999, 5,902 m (19,364 ft) in 2008, and 5,899 m (19,354 ft) in 2014. A map of the Kibo cone on Mount Kilimanjaro was published by the British government's Directorate of Overseas Surveys (DOS) in 1964 based on aerial photography conducted in 1962 as the ""Subset of Kilimanjaro, East Africa (Tanganyika) Series Y742, Sheet 56/2, D.O.S. 422 1964, Edition 1, Scale 1:50,000"". Tourist mapping was first published by the Ordnance Survey in England in 1989 based on the original DOS mapping at a scale of 1:100,000, with 100 ft (30 m) contour intervals, as DOS 522. West Col Productions produced a map with tourist information in 1990, at a scale of 1:75,000, with 100 m (330 ft) contour intervals; it included inset maps of Kibo and Mawenzi on 1:20,000 and 1:30,000 scales respectively and with 50 m (160 ft) contour intervals. In recent years, numerous other maps have become available, of various qualities. The volcanic interior of Kilimanjaro is poorly known because there has not been any significant erosion to expose the igneous strata that comprise the volcano's structure. Eruptive activity at the Shira centre commenced about 2.5 million years ago, with the last important phase occurring about 1.9 million years ago, just before the northern part of the edifice collapsed. Shira is topped by a broad plateau at 3,800 m (12,500 ft), which may be a filled caldera."
Victor Frankestain narrative,"Victor begins by telling of his childhood. Born in Naples, Italy, into a wealthy Genevan family, Victor and his younger brothers, Ernest and William, are sons of Alphonse Frankenstein and the former Caroline Beaufort. From a young age, Victor has a strong desire to understand the world. He is obsessed with studying theories of alchemists, though when he is older he realizes that such theories are considerably outdated. When Victor is five years old, his parents adopt Elizabeth Lavenza (the orphaned daughter of an expropriated Italian nobleman) whom Victor later marries. Victor's parents later take in another child, Justine Moritz, who becomes William's nanny. Weeks before he leaves for the University of Ingolstadt in Germany, his mother dies of scarlet fever; Victor buries himself in his experiments to deal with the grief. At the university, he excels at chemistry and other sciences, soon developing a secret technique to impart life to non-living matter. He undertakes the creation of a humanoid, but due to the difficulty in replicating the minute parts of the human body, Victor makes the Creature tall, about 8 feet (2.4 m) in height, and proportionally large. Despite Victor's selecting its features to be beautiful, upon animation the Creature is instead hideous, with dull and watery yellow eyes and yellow skin that barely conceals the muscles and blood vessels underneath. Repulsed by his work, Victor flees. While wandering the streets the next day, he meets his childhood friend, Henry Clerval, and takes Clerval back to his apartment, fearful of Clerval's reaction if he sees the monster. However, when Victor returns to his laboratory, the Creature is gone. Victor falls ill from the experience and is nursed back to health by Clerval. After a four-month recovery, he receives a letter from his father notifying him of the murder of his brother William. Upon arriving in Geneva, Victor sees the Creature near the crime scene and becomes convinced that his creation is responsible."
