narrative,Jaccard,# Sentences,# Characters,# Tokens,Text
NASA: Astrophysics missions,0.17,3.0,469.0,82.0,"The Neil Gehrels Swift Observatory was launched in November 2004 and is Gamma-ray burst observatory that also monitors the afterglow in X-ray, and UV/Visible light at the location of a burst. The mission was developed in a joint partnership between Goddard Space Flight Center (GSFC) and an international consortium from the United States, United Kingdom, and Italy. Pennsylvania State University operates the mission as part of NASA's Medium Explorer program (MIDEX). "
NASA: Astrophysics missions,0.13,1.0,202.0,34.0,The Fermi Gamma-ray Space Telescope (FGST) is another gamma-ray focused space observatory that was launched to low Earth orbit in June 2008 and is being used to perform gamma-ray astronomy observations.
Kilimanjaro: Geology and geography,0.63,3.0,315.0,67.0,"Kilimanjaro is a large dormant stratovolcano composed of three distinct volcanic cones: Kibo, the highest; Mawenzi at 5,149 m (16,893 ft); and Shira, the lowest at 4,005 m (13,140 ft). Mawenzi and Shira are extinct, while Kibo is dormant and could erupt again. Uhuru Peak is the highest summit on Kibo's crater rim."
Kilimanjaro: Geology and geography,0.02,2.0,361.0,78.0,"The Tanzania National Parks Authority, a Tanzanian government agency, and the United Nations Educational, Scientific and Cultural Organization lists the height of Uhuru Peak as 5,895 m (19,341 ft), based on a British survey in 1952. The height has since been measured as 5,892 m (19,331 ft) in 1999, 5,902 m (19,364 ft) in 2008, and 5,899 m (19,354 ft) in 2014."
Kilimanjaro: Geology and geography,0.09,2.0,303.0,62.0,"A map of the Kibo cone on Mount Kilimanjaro was published by the British government's Directorate of Overseas Surveys (DOS) in 1964 based on aerial photography conducted in 1962 as the ""Subset of Kilimanjaro, East Africa (Tanganyika) Series Y742, Sheet 56/2, D.O.S. 422 1964, Edition 1, Scale 1:50,000""."
Kilimanjaro: Geology and geography,0.04,1.0,186.0,39.0,"Tourist mapping was first published by the Ordnance Survey in England in 1989 based on the original DOS mapping at a scale of 1:100,000, with 100 ft (30 m) contour intervals, as DOS 522."
Kilimanjaro: Geology and geography,0.06,2.0,344.0,68.0,"West Col Productions produced a map with tourist information in 1990, at a scale of 1:75,000, with 100 m (330 ft) contour intervals; it included inset maps of Kibo and Mawenzi on 1:20,000 and 1:30,000 scales respectively and with 50 m (160 ft) contour intervals. In recent years, numerous other maps have become available, of various qualities."
Kilimanjaro: Geology and geography,0.07,3.0,463.0,85.0,"The volcanic interior of Kilimanjaro is poorly known because there has not been any significant erosion to expose the igneous strata that comprise the volcano's structure. Eruptive activity at the Shira centre commenced about 2.5 million years ago, with the last important phase occurring about 1.9 million years ago, just before the northern part of the edifice collapsed. Shira is topped by a broad plateau at 3,800 m (12,500 ft), which may be a filled caldera."
Victor Frankestain narrative,0.54,4.0,423.0,79.0,"Victor begins by telling of his childhood. Born in Naples, Italy, into a wealthy Genevan family, Victor and his younger brothers, Ernest and William, are sons of Alphonse Frankenstein and the former Caroline Beaufort. From a young age, Victor has a strong desire to understand the world. He is obsessed with studying theories of alchemists, though when he is older he realizes that such theories are considerably outdated. "
Victor Frankestain narrative,0.05,2.0,245.0,45.0,"When Victor is five years old, his parents adopt Elizabeth Lavenza (the orphaned daughter of an expropriated Italian nobleman) whom Victor later marries. Victor's parents later take in another child, Justine Moritz, who becomes William's nanny. "
Victor Frankestain narrative,0.06,2.0,301.0,55.0,"Weeks before he leaves for the University of Ingolstadt in Germany, his mother dies of scarlet fever; Victor buries himself in his experiments to deal with the grief. At the university, he excels at chemistry and other sciences, soon developing a secret technique to impart life to non-living matter. "
Victor Frankestain narrative,0.09,3.0,462.0,88.0,"He undertakes the creation of a humanoid, but due to the difficulty in replicating the minute parts of the human body, Victor makes the Creature tall, about 8 feet (2.4 m) in height, and proportionally large. Despite Victor's selecting its features to be beautiful, upon animation the Creature is instead hideous, with dull and watery yellow eyes and yellow skin that barely conceals the muscles and blood vessels underneath. Repulsed by his work, Victor flees. "
Victor Frankestain narrative,0.08,2.0,253.0,50.0,"While wandering the streets the next day, he meets his childhood friend, Henry Clerval, and takes Clerval back to his apartment, fearful of Clerval's reaction if he sees the monster. However, when Victor returns to his laboratory, the Creature is gone. "
Victor Frankestain narrative,0.18,2.0,196.0,37.0,"Victor falls ill from the experience and is nursed back to health by Clerval. After a four-month recovery, he receives a letter from his father notifying him of the murder of his brother William. "
Victor Frankestain narrative,0.12,1.0,126.0,22.0,"Upon arriving in Geneva, Victor sees the Creature near the crime scene and becomes convinced that his creation is responsible."
Pink Floyd: Preceding the band,0.85,3.0,346.0,64.0,"Roger Waters and Nick Mason met while studying architecture at the London Polytechnic at Regent Street. They first played music together in a group formed by fellow students Keith Noble and Clive Metcalfe, with Noble's sister Sheilagh. Richard Wright, a fellow architecture student, joined later that year, and the group became a sextet, Sigma 6."
Pink Floyd: Preceding the band,0.71,3.0,329.0,58.0,"Waters played lead guitar, Mason drums, and Wright rhythm guitar, later moving to keyboards. The band performed at private functions and rehearsed in a tearoom in the basement of the Regent Street Polytechnic. They performed songs by the Searchers and material written by their manager and songwriter, fellow student Ken Chapman."
Pink Floyd: Preceding the band,1.0,2.0,353.0,68.0,"In September 1963, Waters and Mason moved into a flat at 39 Stanhope Gardens near Crouch End in London, owned by Mike Leonard, a part-time tutor at the nearby Hornsey College of Art and the Regent Street Polytechnic. Mason moved out after the 1964 academic year, and guitarist Bob Klose moved in during September 1964, prompting Waters's switch to bass."
Pink Floyd: Preceding the band,0.52,1.0,173.0,34.0,"Sigma 6 went through several names, including the Meggadeaths, the Abdabs and the Screaming Abdabs, Leonard's Lodgers, and the Spectrum Five, before settling on the Tea Set."
Pink Floyd: Preceding the band,0.8,4.0,613.0,120.0,"In 1964, as Metcalfe and Noble left to form their own band, guitarist Syd Barrett joined Klose and Waters at Stanhope Gardens. Barrett, two years younger, had moved to London in 1962 to study at the Camberwell College of Arts. Waters and Barrett were childhood friends; Waters had often visited Barrett and watched him play guitar at Barrett's mother's house. Mason said about Barrett: ""In a period when everyone was being cool in a very adolescent, self-conscious way, Syd was unfashionably outgoing; my enduring memory of our first encounter is the fact that he bothered to come up and introduce himself to me."""
Pink Floyd: Preceding the band,1.0,1.0,148.0,32.0,"Noble and Metcalfe left the Tea Set in late 1963, and Klose introduced the band to singer Chris Dennis, a technician with the Royal Air Force (RAF)."
Spread of Modern English,0.65,4.0,414.0,70.0,"By the late 18th century, the British Empire had spread English through its colonies and geopolitical dominance. Commerce, science and technology, diplomacy, art, and formal education all contributed to English becoming the first truly global language. English also facilitated worldwide international communication. English was adopted in parts of North America, parts of Africa, Oceania, and many other regions. "
Spread of Modern English,0.1,1.0,289.0,44.0,"When they obtained political independence, some of the newly independent states that had multiple indigenous languages opted to continue using English as the official language to avoid the political and other difficulties inherent in promoting any one indigenous language above the others."
Spread of Modern English,0.14,1.0,292.0,51.0,"In the 20th century the growing economic and cultural influence of the United States and its status as a superpower following the Second World War has, along with worldwide broadcasting in English by the BBC and other broadcasters, caused the language to spread across the planet much faster."
Spread of Modern English,0.1,2.0,267.0,45.0,"In the 21st century, English is more widely spoken and written than any language has ever been. As Modern English developed, explicit norms for standard usage were published, and spread through official media such as public education and state-sponsored publications."
Spread of Modern English,0.12,1.0,136.0,23.0,"In 1755 Samuel Johnson published his A Dictionary of the English Language, which introduced standard spellings of words and usage norms."
Spread of Modern English,0.08,2.0,366.0,60.0,"In 1828, Noah Webster published the American Dictionary of the English language to try to establish a norm for speaking and writing American English that was independent of the British standard. Within Britain, non-standard or lower class dialect features were increasingly stigmatised, leading to the quick spread of the prestige varieties among the middle classes."
Spread of Modern English,0.07,2.0,257.0,58.0,"In modern English, the loss of grammatical case is almost complete (it is now only found in pronouns, such as he and him, she and her, who and whom), and SVO word order is mostly fixed. Some changes, such as the use of do-support, have become universalised."
COVID-19 deaths,0.26,3.0,386.0,73.0,"As of 10 March 2023, more than 6.88 million deaths had been attributed to COVID-19. The first confirmed death was in Wuhan on 9 January 2020. These numbers vary by region and over time, influenced by testing volume, healthcare system quality, treatment options, government response, time since the initial outbreak, and population characteristics, such as age, sex, and overall health. "
COVID-19 deaths,0.02,6.0,653.0,111.0,"Multiple measures are used to quantify mortality. Official death counts typically include people who died after testing positive. Such counts exclude deaths without a test. Conversely, deaths of people who died from underlying conditions following a positive test may be included. Countries such as Belgium include deaths from suspected cases, including those without a test, thereby increasing counts. Official death counts have been claimed to underreport the actual death toll, because excess mortality (the number of deaths in a period compared to a long-term average) data show an increase in deaths that is not explained by COVID-19 deaths alone. "
COVID-19 deaths,0.07,3.0,689.0,123.0,"Using such data, estimates of the true number of deaths from COVID-19 worldwide have included a range from 18.2 to 33.5 million (≈27.4 million) by 18 November 2023 by The Economist, as well as over 18.5 million by 1 April 2023 by the Institute for Health Metrics and Evaluation and ≈18.2 million (earlier) deaths between 1 January 2020, and 31 December 2021, by a comprehensive international study. Such deaths include deaths due to healthcare capacity constraints and priorities, as well as reluctance to seek care (to avoid possible infection). Further research may help distinguish the proportions directly caused by COVID-19 from those caused by indirect consequences of the pandemic. "
COVID-19 deaths,0.07,2.0,363.0,66.0,"In May 2022, the WHO estimated the number of excess deaths by the end of 2021 to be 14.9 million compared to 5.4 million reported COVID-19 deaths, with the majority of the unreported 9.5 million deaths believed to be direct deaths due the virus, rather than indirect deaths. Some deaths were because people with other conditions could not access medical services."
Alan Turing: Early life and education (family),0.67,3.0,433.0,87.0,"Turing was born in Maida Vale, London, while his father, Julius Mathison Turing was on leave from his position with the Indian Civil Service (ICS) of the British Raj government at Chatrapur, then in the Madras Presidency and presently in Odisha state, in India. Turing's father was the son of a clergyman, the Rev. John Robert Turing, from a Scottish family of merchants that had been based in the Netherlands and included a baronet."
Alan Turing: Early life and education (family),0.45,2.0,313.0,59.0,"Turing's mother, Julius's wife, was Ethel Sara Turing (née Stoney), daughter of Edward Waller Stoney, chief engineer of the Madras Railways. The Stoneys were a Protestant Anglo-Irish gentry family from both County Tipperary and County Longford, while Ethel herself had spent much of her childhood in County Clare."
Alan Turing: Early life and education (family),0.41,1.0,92.0,19.0,"Julius and Ethel married on 1 October 1907 at Bartholomew's church on Clyde Road, in Dublin."
Alan Turing: Early life and education (family),1.0,2.0,385.0,81.0,"Julius's work with the ICS brought the family to British India, where his grandfather had been a general in the Bengal Army. However, both Julius and Ethel wanted their children to be brought up in Britain, so they moved to Maida Vale, London, where Alan Turing was born on 23 June 1912, as recorded by a blue plaque on the outside of the house of his birth, later the Colonnade Hotel."
Alan Turing: Early life and education (family),0.33,1.0,120.0,24.0,"Turing had an elder brother, John Ferrier Turing, father of Sir John Dermot Turing, 12th Baronet of the Turing baronets."
Alan Turing: Early life and education (family),0.47,3.0,413.0,80.0,"Turing's father's civil service commission was still active during Turing's childhood years, and his parents travelled between Hastings in the United Kingdom and India, leaving their two sons to stay with a retired Army couple. At Hastings, Turing stayed at Baston Lodge, Upper Maze Hill, St Leonards-on-Sea, now marked with a blue plaque. The plaque was unveiled on 23 June 2012, the centenary of Turing's birth."
Alan Turing: Early life and education (family),0.5,2.0,194.0,37.0,"Very early in life, Turing showed signs of the genius that he was later to display prominently. His parents purchased a house in Guildford in 1927, and Turing lived there during school holidays."
Halloween Costumes,0.5,2.0,284.0,47.0,"Halloween costumes were traditionally modeled after figures such as vampires, ghosts, skeletons, scary looking witches, and devils. Over time, the costume selection extended to include popular characters from fiction, celebrities, and generic archetypes such as ninjas and princesses."
Halloween Costumes,0.03,6.0,564.0,124.0,"Dressing up in costumes and going ""guising"" was prevalent in Scotland and Ireland at Halloween by the late 19th century. A Scottish term, the tradition is called ""guising"" because of the disguises or costumes worn by the children. In Ireland and Scotland, the masks are known as 'false faces', a term recorded in Ayr, Scotland in 1890 by a Scot describing guisers: ""I had mind it was Halloween . . . the wee callans (boys) were at it already, rinning aboot wi’ their fause-faces (false faces) on and their bits o’ turnip lanthrons (lanterns) in their haun (hand)""."
Halloween Costumes,0.07,1.0,214.0,40.0,"Costuming became popular for Halloween parties in the US in the early 20th century, as often for adults as for children, and when trick-or-treating was becoming popular in Canada and the US in the 1920s and 1930s. "
Halloween Costumes,0.05,2.0,403.0,82.0,"Eddie J. Smith, in his book Halloween, Hallowed is Thy Name, offers a religious perspective to the wearing of costumes on All Hallows' Eve, suggesting that by dressing up as creatures ""who at one time caused us to fear and tremble"", people are able to poke fun at Satan ""whose kingdom has been plundered by our Saviour"". Images of skeletons and the dead are traditional decorations used as memento mori."
Halloween Costumes,0.11,2.0,517.0,87.0,"""Trick-or-Treat for UNICEF"" is a fundraising program to support UNICEF, a United Nations Programme that provides humanitarian aid to children in developing countries. Started as a local event in a Northeast Philadelphia neighborhood in 1950 and expanded nationally in 1952, the program involves the distribution of small boxes by schools (or in modern times, corporate sponsors like Hallmark, at their licensed stores) to trick-or-treaters, in which they can solicit small-change donations from the houses they visit."
Dante: Education and poetry,0.3,3.0,616.0,114.0,"Not much is known about Dante's education; he presumably studied at home or in a chapter school attached to a church or monastery in Florence. It is known that he studied Tuscan poetry and that he admired the compositions of the Bolognese poet Guido Guinizelli—in Purgatorio XXVI he characterized him as his ""father""—at a time when the Sicilian School (Scuola poetica Siciliana), a cultural group from Sicily, was becoming known in Tuscany. He also discovered the Provençal poetry of the troubadours, such as Arnaut Daniel, and the Latin writers of classical antiquity, including Cicero, Ovid and especially Virgil. "
Dante: Education and poetry,0.12,5.0,793.0,147.0,"Dante's interactions with Beatrice set an example of so-called courtly love, a phenomenon developed in French and Provençal poetry of prior centuries. Dante's experience of such love was typical, but his expression of it was unique. It was in the name of this love that Dante left his imprint on the dolce stil nuovo (""sweet new style"", a term that Dante himself coined), and he would join other contemporary poets and writers in exploring never-before-emphasized aspects of love (Amore). Love for Beatrice (as Petrarch would express for Laura somewhat differently) would be his reason for writing poetry and for living, together with political passions. In many of his poems, she is depicted as semi-divine, watching over him constantly and providing spiritual instruction, sometimes harshly."
Dante: Education and poetry,0.05,2.0,174.0,30.0,"When Beatrice died in 1290, Dante sought refuge in Latin literature. The Convivio chronicles his having read Boethius's De consolatione philosophiae and Cicero's De Amicitia."
Dante: Education and poetry,0.04,2.0,391.0,67.0,"He next dedicated himself to philosophical studies at religious schools like the Dominican one in Santa Maria Novella. He took part in the disputes that the two principal mendicant orders (Franciscan and Dominican) publicly or indirectly held in Florence, the former explaining the doctrines of the mystics and of St. Bonaventure, the latter expounding on the theories of St. Thomas Aquinas."
Dante: Education and poetry,0.12,1.0,130.0,26.0,"At around the age of 18, Dante met Guido Cavalcanti and Brunetto Latini; together they became the leaders of the dolce stil nuovo."
Mickey Mouse Debut (1928),0.73,2.0,314.0,66.0,"Mickey Mouse was first seen in a test screening of the cartoon short Plane Crazy, on May 15, 1928, but it failed to impress the audience and Walt could not find a distributor for the short. Walt went on to produce a second Mickey short, The Gallopin' Gaucho, which was also not released for lack of a distributor. "
Mickey Mouse Debut (1928),0.12,5.0,506.0,104.0,"Steamboat Willie was first released on November 18, 1928, in New York. It was co-directed by Walt Disney and Ub Iwerks. Iwerks again served as the head animator, assisted by Johnny Cannon, Les Clark, Wilfred Jackson and Dick Lundy. This short was intended as a parody of Buster Keaton's Steamboat Bill, Jr., first released on May 12 of the same year. Although it was the third Mickey cartoon produced, it was the first to find a distributor, and thus is considered by The Disney Company as Mickey's debut. "
Mickey Mouse Debut (1928),0.07,1.0,179.0,32.0,"Willie featured changes to Mickey's appearance (in particular, simplifying his eyes to large dots) that established his look for later cartoons and in numerous Walt Disney films. "
Mickey Mouse Debut (1928),0.15,5.0,560.0,101.0,"The cartoon was not the first cartoon to feature a soundtrack connected to the action. Fleischer Studios, headed by brothers Dave and Max Fleischer, had already released a number of sound cartoons using the DeForest system in the mid-1920s. However, these cartoons did not keep the sound synchronized throughout the film. For Willie, Disney had the sound recorded with a click track that kept the musicians on the beat. This precise timing is apparent during the ""Turkey in the Straw"" sequence when Mickey's actions exactly match the accompanying instruments. "
Mickey Mouse Debut (1928),0.08,3.0,375.0,65.0,"Animation historians have long debated who had served as the composer for the film's original music. This role has been variously attributed to Wilfred Jackson, Carl Stalling and Bert Lewis, but identification remains uncertain. Walt Disney himself was voice actor for both Mickey and Minnie and would remain the source of Mickey's voice through 1946 for theatrical cartoons."
Rio de Janeiro Geography,0.49,3.0,504.0,113.0,"Rio de Janeiro is near the west end of a strip (from Cabo Frio to just east of Ilha Grande) of Brazil's Atlantic coast close to the Tropic of Capricorn where the shoreline is oriented east and west; the city thus faces largely south. It was founded at the entrance to an inlet, Guanabara Bay (Baía de Guanabara), which is marked by a point of land called Sugar Loaf (Pão de Açúcar) – a ""calling card"" of the city. The Centro, Rio's downtown core, lies on the plains of the western shore of Guanabara Bay."
Rio de Janeiro Geography,0.06,2.0,394.0,79.0,"The South Zone (Zona Sul) is composed of several districts, among which are São Conrado, Leblon, Ipanema, Arpoador, Copacabana, and Leme, which compose Rio's famous Atlantic beach coastline. The neighborhood of Copacabana beach hosts one of the world's most spectacular New Year's Eve parties (""Reveillon""), as more than two million revelers crowd onto the sands to watch the fireworks display."
Rio de Janeiro Geography,0.04,2.0,426.0,86.0,"The North Zone (Zona Norte) begins at Grande Tijuca (the middle class residential and commercial bairro of Tijuca), just west of the city center, and sprawls for miles inland until Baixada Fluminense and the city's Northwest. This region is home to the Maracanã stadium (located in Grande Tijuca), once the world's highest capacity football venue, able to hold nearly 199,854 people, as it did for the World Cup final of 1950."
Rio de Janeiro Geography,0.07,2.0,590.0,114.0,"The city has parks and ecological reserves such as the Tijuca National Park, the world's first urban forest and UNESCO Environmental Heritage and Biosphere Reserve; Pedra Branca State Park, which houses the highest point of Rio de Janeiro, the peak of Pedra Branca; the Quinta da Boa Vista complex; the Botanical Garden; Rio's Zoo; Parque Lage; and the Passeio Público, the first public park in the Americas. In addition the Flamengo Park is the largest landfill in the city, extending from the center to the south zone, and containing museums and monuments, in addition to much vegetation."
Game of Thrones,0.61,3.0,395.0,85.0,"Game of Thrones is an American fantasy drama television series created by David Benioff and D. B. Weiss for HBO. It is an adaptation of A Song of Ice and Fire, a series of fantasy novels by George R. R. Martin, the first of which is A Game of Thrones. The show premiered on HBO in the United States on April 17, 2011, and concluded on May 19, 2019, with 73 episodes broadcast over eight seasons."
Game of Thrones,0.04,4.0,679.0,124.0,"Set on the fictional continents of Westeros and Essos, Game of Thrones has a large ensemble cast and follows several story arcs throughout the course of the show. The first major arc concerns the Iron Throne of the Seven Kingdoms of Westeros through a web of political conflicts among the noble families either vying to claim the throne or fighting for independence from whoever sits on it. The second focuses on the last descendant of the realm's deposed ruling dynasty, who has been exiled to Essos and is plotting to return and reclaim the throne. The third follows the Night's Watch, a military order defending the realm against threats from beyond Westeros' northern border."
Game of Thrones,0.11,3.0,466.0,82.0,"Game of Thrones attracted a record viewership on HBO and has a broad, active, and international fan base. Critics have praised the series for its acting, complex characters, story, scope, and production values, although its frequent use of nudity and violence (including sexual violence) has been subject to criticism. The final season received significant criticism for its reduced length and creative decisions, with many considering it a disappointing conclusion."
Game of Thrones,0.05,2.0,330.0,61.0,"The series received 59 Primetime Emmy Awards, the most by a drama series, including Outstanding Drama Series in 2015, 2016, 2018 and 2019. Its other awards and nominations include three Hugo Awards for Best Dramatic Presentation, a Peabody Award, and five nominations for the Golden Globe Award for Best Television Series – Drama."
Medici History – rise to power,1.0,3.0,225.0,45.0,"The Medici family came from the agricultural Mugello region north of Florence, and they are first mentioned in a document of 1230. The origin of the name is uncertain. Medici is the plural of medico, meaning ""medical doctor""."
Medici History – rise to power,1.0,3.0,326.0,67.0,"The dynasty began with the founding of the Medici Bank in Florence in 1397. For most of the 13th century, the leading banking centre in Italy was Siena. But in 1298, one of the leading banking families of Europe, the Bonsignoris, went bankrupt, and the city of Siena lost its status as the banking centre of Italy to Florence."
Medici History – rise to power,1.0,3.0,357.0,61.0,"Until the late 14th century, the leading family of Florence was the House of Albizzi. In 1293, the Ordinances of Justice were enacted; effectively, they became the constitution of the Republic of Florence throughout the Italian Renaissance. The city's numerous luxurious palazzi were becoming surrounded by townhouses built by the prospering merchant class."
Medici History – rise to power,1.0,2.0,317.0,58.0,"The main challengers to the Albizzi family were the Medici, first under Giovanni di Bicci de' Medici, later under his son Cosimo di Giovanni de' Medici and great-grandson, Lorenzo de' Medici. The Medici controlled the Medici Bank—then Europe's largest bank—and an array of other enterprises in Florence and elsewhere."
Medici History – rise to power,1.0,3.0,306.0,60.0,"In 1433, the Albizzi managed to have Cosimo exiled. The next year, however, a pro-Medici Signoria (civic government) led by Tommaso Soderini, Oddo Altoviti and Lucca Pitti was elected and Cosimo returned. The Medici became the city's leading family, a position they would hold for the next three centuries."
Medici History – rise to power,1.0,2.0,338.0,57.0,"Florence remained a republic until 1537, traditionally marking the end of the High Renaissance in Florence, but the instruments of republican government were firmly under the control of the Medici and their allies, save during intervals after 1494 and 1527. Cosimo and Lorenzo rarely held official posts but were the unquestioned leaders."
Vesuvius,0.66,2.0,228.0,46.0,"Mount Vesuvius is a somma-stratovolcano located on the Gulf of Naples in Campania, Italy, about 9 km (5.6 mi) east of Naples and a short distance from the shore. It is one of several volcanoes forming the Campanian volcanic arc."
Vesuvius,0.56,2.0,382.0,74.0,"Vesuvius consists of a large cone partially encircled by the steep rim of a summit caldera, resulting from the collapse of an earlier, much higher structure. Vesuvius is a ""humpbacked"" peak, consisting of a large cone (Gran Cono) partially encircled by the steep rim of a summit caldera caused by the collapse of an earlier (and originally much higher) structure called Mount Somma."
Vesuvius,0.43,3.0,286.0,51.0,"The Gran Cono was produced during the A.D. 79 eruption. For this reason, the volcano is also called Somma-Vesuvius or Somma-Vesuvio. The caldera started forming during an eruption around 17,000–18,000 years ago and was enlarged by later paroxysmal eruptions, ending in the one of AD 79."
